Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\PCB_Project\Project Outputs for PCB_Project\Pick Place for PCB(Main).csv

========================================================================================================================
File Design Information:

Date:       01/11/25
Time:       11:01
Revision:   89185d7d1df1161384d03aee9f56bff58a0335dc
Variant:    Main
Units used: mm

"Designator","Comment","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"X4","B02P-NV(LF)(SN)","TopLayer","49.5000","50.2030","0"
"R41","ERJ-2RKF1002X","TopLayer","32.0000","28.0000","180"
"R40","ERJ-2RKF1002X","TopLayer","32.0000","26.0000","180"
"C40","GRM155R71C103KA01D","TopLayer","33.0000","28.0000","180"
"C39","GRM155R71C103KA01D","TopLayer","33.0000","26.0000","180"
"X7","B4B-PH-SM4-TB","TopLayer","27.3750","26.5000","270"
"R39","0402WGF2200TCE","TopLayer","5.1955","37.4864","0"
"R38","ERJ-2RKF1002X","TopLayer","19.7000","3.7000","90"
"D12","150060WS75000","TopLayer","17.3000","3.7001","0"
"C38","CL05A475MP5NRNC","TopLayer","23.0000","3.0000","0"
"U6","AP2112K-3.3TRG1","TopLayer","20.9000","23.9000","180"
"R37","ERJ-2RKF1001X","TopLayer","19.7000","17.0000","90"
"D11","150060WS75000","TopLayer","17.8000","17.0001","0"
"C37","CL05A106MQ5NUNC","TopLayer","22.3000","21.6000","90"
"C36","CL05A106MQ5NUNC","TopLayer","22.3000","20.6000","90"
"C35","CL05A475MP5NRNC","TopLayer","20.4000","26.2000","90"
"C27","CL05A475MP5NRNC","TopLayer","20.4000","27.1000","90"
"R18","ERJ-2RKF49R9X","BottomLayer","35.1558","15.8500","180"
"R19","ERJ-2RKF49R9X","BottomLayer","36.3043","21.4824","0"
"R21","ERJ-2RKF49R9X","BottomLayer","41.2846","21.5343","0"
"R20","ERJ-2RKF49R9X","BottomLayer","37.7499","15.8500","180"
"R15","ERJ-2RKF1001X","TopLayer","72.5000","36.8000","180"
"R16","ERJ-2RKF1001X","TopLayer","80.0000","36.8000","180"
"C9","CL05A106MQ5NUNC","BottomLayer","40.8128","15.8111","180"
"X6","HR911105A","TopLayer","40.0000","12.9950","180"
"X5","B4P-VH-B(LF)(SN)","TopLayer","34.9800","50.2020","180"
"X3","B8B-PH-SM4-TB(LF)(SN)","TopLayer","27.3750","10.0000","270"
"X2","M20-8770342","TopLayer","71.0000","4.0000","180"
"X1","B5B-PH-SM4-TB(LF)(SN)","TopLayer","6.0500","9.0000","90"
"U5","LAN8720AI-CP-TR-ABC","TopLayer","46.7395","30.6149","180"
"U4","AP2112K-3.3TRG1","TopLayer","80.0000","48.5000","180"
"U3","AP2112K-3.3TRG1","TopLayer","75.0000","48.5000","180"
"U2","TPS54202DDCR","TopLayer","57.0000","40.5000","0"
